
Rank,Athlete,Age,Team,NOC,Medal,P(1934T),P(1985T),
1,Bob Mathias,17,United States,USA,Gold,7139,6.628,
2,Ignace Heinrich,22,France,FRA,Silver,6974,6.559,
3,Floyd Simmons,25,United States,USA,Bronze,6950,6.531,
4,Enrique Kistenmacher,25,Argentina,ARG,,6929,6.542,
5,Erik Andersson,26,Sweden,SWE,,6877,6.486,
6,Peter Mullins,22,Australia,AUS,,6739,6.334,
7,Per Eriksson,23,Sweden,SWE,,6731,6.391,
8,Irving Mondschein,24,United States,USA,,6715,6.331,
9,Edward Adamczyk,26,Poland,POL,,6712,6.336,
10,Godtfred Holmvang,30,Norway,NOR,,6663,6.324,
11,Per Stavem,22,Norway,NOR,,6552,6.153,
12,Ãrn Clausen,19,Iceland,ISL,,6444,6.110,
13,YrjÃ¶ MÃ¤kelÃ¤,21,Finland,FIN,,6421,6.064,
14,Pierre SprÃ©cher,26,France,FRA,,6401,6.136,
15,Kjell TÃ¥nnander,21,Sweden,SWE,,6325,6.017,
16,WacÅaw KuÅºmicki,27,Poland,POL,,6153,5.898,
17,Hannes Sonck,28,Finland,FIN,,6142,5.883,
18,Davorin MarÄelja,24,Yugoslavia,YUG,,6141,5.851,
19,Witold Gerutto,35,Poland,POL,,6106,5.756,
20T,HernÃ¡n Figueroa,20,Chile,CHI,,6026,5.786,
20T,HÃ©rcules Azcune,19,Uruguay,URU,,6026,5.781,
22,Jacques CrÃ©taine,,France,FRA,,5829,5.604,
23,Fritz Nussbaum,24,Switzerland,SUI,,5808,5.641,
24,Mario RecordÃ³n,26,Chile,CHI,,5730,5.582,
25,Lionel Fournier,31,Canada,CAN,,5590,5.453,
26,Albert Dayer,22,Belgium,BEL,,5586,5.349,
27,Oskar Gerber,,Switzerland,SUI,,5558,5.403,
28,Sayed Moukhtar,,Egypt,EGY,,5031,5.000,
AC,Baldev Singh,,India,IND,,,,DNF
AC,Josef Seger,,Liechtenstein,LIE,,,,DNF
AC,Oto Rebula,26,Yugoslavia,YUG,,,,DNF
AC,Eduardo Julve,24,Peru,PER,,,,DNF
AC,RenÃ© Kremer,23,Luxembourg,LUX,,,,DNF
AC,Gebhard BÃ¼chel,27,Liechtenstein,LIE,,,,DNF
AC,Armin Scheurer,30,Switzerland,SUI,,,,DNF
