
Rank,Athlete,Age,Team,NOC,Medal,P(1962HT),P(1985HT),
1,Willi Holdorf,24,Germany,GER,Gold,7887,7.726,
2,Rein Aun,24,Soviet Union,URS,Silver,7842,7.677,
3,Hans-Joachim Walde,22,Germany,GER,Bronze,7809,7.666,
4,Paul Herman,23,United States,USA,,7787,7.651,
5,Yang C. K.,31,Chinese Taipei,TPE,,7650,7.539,
6,Horst Beyer,24,Germany,GER,,7647,7.488,
7,Vasily Kuznetsov,32,Soviet Union,URS,,7569,7.454,
8,Mykhailo Storozhenko,26,Soviet Union,URS,,7464,7.307,
9,Russ Hodge,25,United States,USA,,7325,7.130,
10,Dick Emberger,26,United States,USA,,7292,7.126,
11,Bill Gairdner,23,Canada,CAN,,7147,6.989,
12,ValbjÃ¶rn ÃorlÃ¡ksson,30,Iceland,ISL,,7135,6.958,
13,Franco Sar,30,Italy,ITA,,7054,6.888,
14,Alois BÃ¼chel,23,Liechtenstein,LIE,,6849,6.629,
15,Shosuke Suzuki,27,Japan,JPN,,6838,6.654,
16,Gerry Moro,21,Canada,CAN,,6716,6.540,
17,Koech Kiprop,,Kenya,KEN,,6707,6.556,
18,Dramane Sereme,22,Mali,MLI,,5917,5.804,
AC,Werner Duttweiler,24,Switzerland,SUI,,,,DNF
AC,HÃ©ctor Thomas,26,Venezuela,VEN,,,,DNF
AC,Eef Kamerbeek,30,Netherlands,NED,,,,DNF
AC,Wu Ah-Min,26,Chinese Taipei,TPE,,,,DNF
